{'Pair': 'ETH/USDT', 'Strategy': 'Diamond', 'interval': '1h', 'backtest': 'from 20230101 to 20231110', 'drawdown': 0.0, 'sharpe': -100, 'total_profit': 0.0, 'total_profit_pcr': 0.0}
{'Pair': 'ETH/USDT', 'Strategy': 'Diamond', 'interval': '5m', 'backtest': 'from 20230101 to 20231110', 'drawdown': 57.41111414, 'sharpe': 0.38982471515598915, 'total_profit': 31.74240384, 'total_profit_pcr': 3.17}
{'Pair': 'ETH/USDT', 'Strategy': 'Diamond', 'interval': '15m', 'backtest': 'from 20230101 to 20231110', 'drawdown': 0.0, 'sharpe': 0.596821735269201, 'total_profit': 3.81469125, 'total_profit_pcr': 0.38}
{'Pair': 'ETH/USDT', 'Strategy': 'Diamond', 'interval': '4h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0, 'total_profit': 0, 'total_profit_pcr': 0.0}
{'Pair': 'ETH/USDT', 'Strategy': 'Diamond', 'interval': '1d', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0, 'total_profit': 0, 'total_profit_pcr': 0.0}

{'Pair': 'BTC/USDT', 'Strategy': 'Diamond', 'interval': '5m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0, 'total_profit': 0, 'total_profit_pcr': 0.0}
{'Pair': 'BTC/USDT', 'Strategy': 'Diamond', 'interval': '15m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.17959542258241912, 'total_profit': 1.42349085, 'total_profit_pcr': 0.14}
{'Pair': 'BTC/USDT', 'Strategy': 'Diamond', 'interval': '1h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.8202339399999996, 'sharpe': 1.5031270285214264, 'total_profit': 32.33692673, 'total_profit_pcr': 3.23}
{'Pair': 'BTC/USDT', 'Strategy': 'Diamond', 'interval': '4h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.5495062097559195, 'total_profit': 6.48721639, 'total_profit_pcr': 0.65}
{'Pair': 'BTC/USDT', 'Strategy': 'Diamond', 'interval': '1d', 'backtest': 'from 20230101 to 20231101', 'drawdown': 20.38792375, 'sharpe': -0.27783792727182177, 'total_profit': -20.38792375, 'total_profit_pcr': -2.04}

{'Pair': 'BTC/USDT', 'Strategy': 'Heracles', 'interval': '5m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 1.158007437875265, 'total_profit': 159.42207886, 'total_profit_pcr': 15.94}
{'Pair': 'BTC/USDT', 'Strategy': 'Heracles', 'interval': '15m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 1.0250475922824476, 'total_profit': 160.01458386, 'total_profit_pcr': 16.0}
{'Pair': 'BTC/USDT', 'Strategy': 'Heracles', 'interval': '1h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.566584330000012, 'sharpe': 1.057096637715069, 'total_profit': 154.71262487, 'total_profit_pcr': 15.47}
{'Pair': 'BTC/USDT', 'Strategy': 'Heracles', 'interval': '4h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.9323063839693089, 'total_profit': 134.42586153000002, 'total_profit_pcr': 13.44}
{'Pair': 'BTC/USDT', 'Strategy': 'Heracles', 'interval': '1d', 'backtest': 'from 20230101 to 20231101', 'drawdown': 17.50598241, 'sharpe': -0.1100467167545607, 'total_profit': -15.219726240000002, 'total_profit_pcr': -1.52}

{'Pair': 'ETH/USDT', 'Strategy': 'Heracles', 'interval': '5m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 56.27784898, 'sharpe': 0.32303078818237685, 'total_profit': 71.90998286, 'total_profit_pcr': 7.19}
{'Pair': 'ETH/USDT', 'Strategy': 'Heracles', 'interval': '15m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 56.53972695, 'sharpe': 0.31897544005854817, 'total_profit': 74.30108222000001, 'total_profit_pcr': 7.43}
{'Pair': 'ETH/USDT', 'Strategy': 'Heracles', 'interval': '1h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 56.48020357, 'sharpe': 0.3252847783470823, 'total_profit': 75.48641583999999, 'total_profit_pcr': 7.55}
{'Pair': 'ETH/USDT', 'Strategy': 'Heracles', 'interval': '4h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 55.25212745, 'sharpe': 0.07785978613142269, 'total_profit': 17.297291539999996, 'total_profit_pcr': 1.73}
{'Pair': 'ETH/USDT', 'Strategy': 'Heracles', 'interval': '1d', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': -100, 'total_profit': 0.0, 'total_profit_pcr': 0.0}

{'Pair': 'BTC/USDT', 'Strategy': 'HourBasedStrategy', 'interval': '5m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 52.70083175, 'sharpe': 0.7781260162749801, 'total_profit': 95.08837587000001, 'total_profit_pcr': 9.51}
{'Pair': 'BTC/USDT', 'Strategy': 'HourBasedStrategy', 'interval': '15m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 53.38287906000001, 'sharpe': 0.7363418363977458, 'total_profit': 91.85226478999999, 'total_profit_pcr': 9.19}
